Cohort,Species,Mark,Date,Year,Month,Sector,Run,Length,Weight,Age,Sex,adc,Tag_loss,Adip,Remark,yob,yob_cor,Cohort_cor,Age_cor,Mark_cor,Stream,Pop,Pop_ind
C03,RT,9149,6/22/04,2004,6,1,1,155,39.7,1,NA,1,NA,NA,NA,2003,2003,C03,1,9149,LIdri,LIdri_RT,1
C03,RT,9152,6/22/04,2004,6,1,1,167,48.9,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9152,LIdri,LIdri_RT,1
C03,RT,9152,6/10/05,2005,6,1,1,226,132.9,2,NA,NA,NA,NA,NA,2003,2003,C03,2,9152,LIdri,LIdri_RT,1
C03,RT,9156,6/22/04,2004,6,1,1,175,59.7,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9156,LIdri,LIdri_RT,1
C03,RT,9160,6/22/04,2004,6,1,1,161,46.5,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9160,LIdri,LIdri_RT,1
C03,RT,9160,9/9/04,2004,9,1,1,172,49.6,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9160,LIdri,LIdri_RT,1
C03,RT,9170,6/22/04,2004,6,1,1,139,28,1,NA,1,NA,NA,NA,2003,2003,C03,1,9170,LIdri,LIdri_RT,1
C03,RT,9173,6/22/04,2004,6,1,1,143,34.3,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9173,LIdri,LIdri_RT,1
C03,RT,9184,6/22/04,2004,6,1,1,146,34.3,1,NA,1,NA,NA,NA,2003,2003,C03,1,9184,LIdri,LIdri_RT,1
C03,RT,9184,9/9/04,2004,9,1,2,177,56.5,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9184,LIdri,LIdri_RT,1
C01,RT,9185,6/22/04,2004,6,1,1,322,358.3,3,NA,1,NA,NA,NA,2001,2001,C01,3,9185,LIdri,LIdri_RT,1
C01,RT,9185,9/9/04,2004,9,1,1,322,372.4,3,NA,NA,NA,NA,NA,2001,2001,C01,3,9185,LIdri,LIdri_RT,1
C01,RT,9185,6/10/05,2005,6,1,1,332,340.3,4,NA,NA,NA,NA,NA,2001,2001,C01,4,9185,LIdri,LIdri_RT,1
C01,RT,9185,9/6/05,2005,9,1,1,342,377.2,4,NA,NA,NA,NA,NA,2001,2001,C01,4,9185,LIdri,LIdri_RT,1
C03,RT,9188,6/22/04,2004,6,1,1,181,66.6,1,NA,NA,NA,NA,NA,2003,2003,C03,1,9188,LIdri,LIdri_RT,1
C08,RT,9220,9/7/09,2009,9,1,2,188,64,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9220,LIdri,LIdri_RT,1
C08,RT,9267,9/7/09,2009,9,1,1,183,69,1,NA,1,NA,NA,NA,2008,2008,C08,1,9267,LIdri,LIdri_RT,1
C08,RT,9282,6/15/09,2009,6,1,1,145,33,1,NA,1,NA,NA,NA,2008,2008,C08,1,9282,LIdri,LIdri_RT,1
C08,RT,9282,6/14/10,2010,6,1,2,217,111,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9282,LIdri,LIdri_RT,1
C08,RT,9290,6/15/09,2009,6,1,2,160,48,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9290,LIdri,LIdri_RT,1
C08,RT,9298,6/15/09,2009,6,1,1,156,41,1,NA,1,NA,NA,NA,2008,2008,C08,1,9298,LIdri,LIdri_RT,1
C08,RT,9302,6/15/09,2009,6,1,1,154,40,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9302,LIdri,LIdri_RT,1
C08,RT,9302,9/7/09,2009,9,1,1,192,79,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9302,LIdri,LIdri_RT,1
C08,RT,9305,6/15/09,2009,6,1,2,153,38,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9305,LIdri,LIdri_RT,1
C08,RT,9306,6/15/09,2009,6,1,1,150,36,1,NA,1,NA,NA,NA,2008,2008,C08,1,9306,LIdri,LIdri_RT,1
C08,RT,9307,6/15/09,2009,6,1,1,153,38,1,NA,1,NA,NA,NA,2008,2008,C08,1,9307,LIdri,LIdri_RT,1
C08,RT,9307,9/7/09,2009,9,1,2,178,58,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9307,LIdri,LIdri_RT,1
C08,RT,9309,6/15/09,2009,6,1,2,153,37,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9309,LIdri,LIdri_RT,1
C08,RT,9309,9/7/09,2009,9,1,2,188,69,1,NA,NA,NA,NA,NA,2008,2008,C08,1,9309,LIdri,LIdri_RT,1
C08,RT,9309,6/14/10,2010,6,1,1,211,98,2,NA,NA,NA,NA,NA,2008,2008,C08,2,9309,LIdri,LIdri_RT,1
